"",hour,total_topup_count,topup_count
0,2024-07-04 14:00:00.000000,855,855
1,2024-07-04 15:00:00.000000,2200,1345
2,2024-07-04 16:00:00.000000,3993,1793
3,2024-07-04 17:00:00.000000,5358,1365
4,2024-07-04 18:00:00.000000,6070,712
5,2024-07-04 19:00:00.000000,6507,437
6,2024-07-04 20:00:00.000000,6849,342
7,2024-07-04 21:00:00.000000,7028,179
8,2024-07-04 22:00:00.000000,7131,103
9,2024-07-04 23:00:00.000000,7168,37
10,2024-07-05 00:00:00.000000,7169,1
11,2024-07-05 01:00:00.000000,7169,0
12,2024-07-05 02:00:00.000000,7169,0
13,2024-07-05 03:00:00.000000,7169,0
14,2024-07-05 04:00:00.000000,7169,0
15,2024-07-05 05:00:00.000000,7169,0
16,2024-07-05 06:00:00.000000,7169,0
17,2024-07-05 07:00:00.000000,7169,0
18,2024-07-05 08:00:00.000000,7169,0
19,2024-07-05 09:00:00.000000,7169,0
20,2024-07-05 10:00:00.000000,7169,0
21,2024-07-05 11:00:00.000000,7169,0
22,2024-07-05 12:00:00.000000,7174,5
23,2024-07-05 13:00:00.000000,7183,9
24,2024-07-05 14:00:00.000000,7521,338
25,2024-07-05 15:00:00.000000,8061,540
26,2024-07-05 16:00:00.000000,8638,577
27,2024-07-05 17:00:00.000000,9310,672
28,2024-07-05 18:00:00.000000,9745,435
29,2024-07-05 19:00:00.000000,10129,384
30,2024-07-05 20:00:00.000000,10458,329
31,2024-07-05 21:00:00.000000,10627,169
32,2024-07-05 22:00:00.000000,10759,132
33,2024-07-05 23:00:00.000000,10826,67
34,2024-07-06 00:00:00.000000,10840,14
35,2024-07-06 01:00:00.000000,10840,0
36,2024-07-06 02:00:00.000000,10840,0
37,2024-07-06 03:00:00.000000,10840,0
38,2024-07-06 04:00:00.000000,10840,0
39,2024-07-06 05:00:00.000000,10840,0
40,2024-07-06 06:00:00.000000,10840,0
41,2024-07-06 07:00:00.000000,10840,0
42,2024-07-06 08:00:00.000000,10840,0
43,2024-07-06 09:00:00.000000,10840,0
44,2024-07-06 10:00:00.000000,10840,0
45,2024-07-06 11:00:00.000000,10840,0
46,2024-07-06 12:00:00.000000,10843,3
47,2024-07-06 13:00:00.000000,11619,776
48,2024-07-06 14:00:00.000000,12636,1017
49,2024-07-06 15:00:00.000000,13607,971
50,2024-07-06 16:00:00.000000,14769,1162
51,2024-07-06 17:00:00.000000,15593,824
52,2024-07-06 18:00:00.000000,16467,874
53,2024-07-06 19:00:00.000000,16722,255
54,2024-07-06 20:00:00.000000,17006,284
55,2024-07-06 21:00:00.000000,17203,197
56,2024-07-06 22:00:00.000000,17233,30
