hour,category,is_alcoholic,hourly_count,hour_percentage
2024-07-04 14:00:00.000000,Radegast,true,147,29.7
2024-07-04 15:00:00.000000,Radegast,true,601,33.46
2024-07-04 16:00:00.000000,Radegast,true,942,36.15
2024-07-04 17:00:00.000000,Radegast,true,1111,30.11
2024-07-04 18:00:00.000000,Radegast,true,1123,32.85
2024-07-04 19:00:00.000000,Radegast,true,986,26.44
2024-07-04 20:00:00.000000,Radegast,true,837,24.37
2024-07-04 21:00:00.000000,Radegast,true,498,24.68
2024-07-04 22:00:00.000000,Absolut Vodka,true,231,16.68
2024-07-04 23:00:00.000000,Absolut Vodka,true,142,20.34
2024-07-05 00:00:00.000000,Absolut Vodka,true,29,24.37
2024-07-05 12:00:00.000000,Coffee,false,2,100
2024-07-05 13:00:00.000000,Coffee,false,11,57.89
2024-07-05 14:00:00.000000,Radegast,true,204,23.89
2024-07-05 15:00:00.000000,Radegast,true,522,25.91
2024-07-05 16:00:00.000000,Radegast,true,622,24.98
2024-07-05 17:00:00.000000,Radegast,true,944,23.56
2024-07-05 18:00:00.000000,Radegast,true,768,26.64
2024-07-05 19:00:00.000000,Radegast,true,850,23.8
2024-07-05 20:00:00.000000,Radegast,true,766,22.26
2024-07-05 21:00:00.000000,Radegast,true,434,22.78
2024-07-05 22:00:00.000000,Radegast,true,351,19.24
2024-07-05 23:00:00.000000,Absolut Vodka,true,184,19.91
2024-07-06 00:00:00.000000,Absolut Vodka,true,109,29.46
2024-07-06 01:00:00.000000,Absolut Vodka,true,5,25
2024-07-06 11:00:00.000000,Lemonade,false,2,100
2024-07-06 12:00:00.000000,Coffee,false,3,75
2024-07-06 13:00:00.000000,Radegast,true,352,28.43
2024-07-06 14:00:00.000000,Radegast,true,878,33.56
2024-07-06 15:00:00.000000,Radegast,true,1067,31
2024-07-06 16:00:00.000000,Radegast,true,1509,29.72
2024-07-06 17:00:00.000000,Radegast,true,1130,30.87
2024-07-06 18:00:00.000000,Radegast,true,1571,27.03
2024-07-06 19:00:00.000000,Radegast,true,831,35.29
2024-07-06 20:00:00.000000,Radegast,true,777,26.28
2024-07-06 21:00:00.000000,Pilsner Urquell,true,516,18.71
2024-07-06 22:00:00.000000,Pilsner Urquell,true,130,26.26
